Objectid,Subcounty_Name,District_Name,Population,Area,Karamoja,Sorghum_Yield_Ha,Maize_Yield_Ha,Crop_Area_Ha,Sorghum_Area_Ha,Maize_Area_Ha,Sorghum_Prod_Tot,Maize_Prod_Tot,Objectid_District,Population_District,Area_District,Sorghum_Yield_Ha_District,Maize_Yield_Ha_District,Total_Crop_Area_Ha,Sorghum_Area_Ha_District,Maize_Area_Ha_District,Sorghum_Prod_Tot_District,Maize_Prod_Tot_District,Total_Food_Tonnes,Food_Per_Person_Kg,Primary_Crop
263,Kacheri,KOTIDO,17244,1067176155,Y,354.20741069999997,1137.467019,7023.533691,6434.342449,528.1242294,2279091.779,600723.8929,,,,,,,,,,,2879.8156719,167.00392437369518,Sorghum
264,Kotido,KOTIDO,52771,597575188,Y,367.89052319999996,1162.9966869999998,13587.990759999999,12455.59264,824.7670809,4582294.492,959201.3825,,,,,,,,,,,5541.4958745,105.01024946466809,Sorghum
265,Kotido Town Council,KOTIDO,27389,23972401,Y,369.3141771,1167.005832,1656.5318550000002,1520.322052,8.561643817,561476.4874,9991.488268000001,,,,,,,,,,,571.4679756679999,20.864871870751028,Sorghum
266,Nakaperimoru,KOTIDO,38775,419111591,Y,283.3245689,852.3665784,7087.823334000001,6761.488901000001,45.72171184,1915695.928,38971.65908,,,,,,,,,,,1954.66758708,50.410511594584136,Sorghum
267,Panyangara,KOTIDO,65704,880955930,Y,373.8369255,1283.859882,10398.24939,10111.198129999999,172.6119139,3779939.224,221609.5114,,,,,,,,,,,4001.5487354,60.902665521125044,Sorghum
268,Rengen,KOTIDO,41273,652744859,Y,271.18584310000006,1047.180128,13278.52043,12964.49973,171.5857036,3515788.789,179681.139,,,,,,,,,,,3695.469928,89.53722598308822,Sorghum
591,Kaabong  East,KAABONG,42221,60801942,Y,160.5885252,650.1235647999999,1021.31699,1004.647534,15.66040911,161334.8658,10181.201,,,,,,,,,,,171.5160668,4.062340228796097,Sorghum
592,Kaabong Town Council,KAABONG,38857,13071455,Y,212.21070299999997,1229.213444,175.08052659999998,156.5038884,18.52618562,33211.80017,22772.636430000002,,,,,,,,,,,55.9844366,1.4407812389016137,Sorghum
593,Kaabong West,KAABONG,41454,67612362,Y,208.04051840000002,1056.416068,967.3367266,910.2541223,56.27535518,189369.7394,59450.18942,,,,,,,,,,,248.81992882,6.0023141028610025,Sorghum
594,Kalapata,KAABONG,99203,223116860,Y,209.8093519,633.4231821000001,2834.349905,2501.368282,331.2257949,524810.4582,209806.09699999998,,,,,,,,,,,734.6165552,7.405184875457395,Sorghum
595,Kamion,KAABONG,60070,1199409465,Y,259.8982456,714.4757426,997.1610206,411.8070005,549.8633367000001,107027.9169,392864.0158,,,,,,,,,,,499.8919327,8.321823417679374,Maize
596,Kapedo,KAABONG,33951,304557831,Y,301.1543278,1030.064093,2365.259806,1624.56438,722.6498686000001,489244.5938,744375.6816,,,,,,,,,,,1233.6202753999999,36.3353148773232,Maize
597,Kathile,KAABONG,56870,228457417,Y,312.2786152,1125.685462,6890.699234000001,5997.222911,867.8731713,1872804.465,976952.2116,,,,,,,,,,,2849.7566766,50.11001717249868,Sorghum
598,Kawalakol,KAABONG,37691,1742041261,Y,298.44995919999997,871.612802,3934.432233,2249.7770600000003,1620.876815,671445.8717,1412776.9819999998,,,,,,,,,,,2084.2228537,55.29762685256427,Maize
599,Lobalangit,KAABONG,22907,302572789,Y,386.5298191,985.1926986,1890.248613,879.0023395,1005.8773960000001,339760.6153,990983.0661,,,,,,,,,,,1330.7436814,58.09332000698477,Maize
